rank,symbol,score,status,conf%,pumptime,age,num_triggers,triggers
16,ONDO/USDT,8,🚀 Pump,64,15m,0,8,CCI_5m=-109.7 WilliamsR_5m=-83.3 CCI_15m=-120.7 WilliamsR_15m=-93.0 ADX_1h=28.3 ADX_4h=25.9 CCI_4h=105.4 ROC_4h=6.5
17,HUMA/USDT,8,🚀 Pump,64,15m,1,8,WilliamsR_5m=-81.3 ADX_15m=39.9 WilliamsR_1h=-89.2 ROC_1h=-6.6 ADX_4h=29.7 CCI_4h=-164.2 WilliamsR_4h=-93.8 ROC_4h=-6.0
18,XMR/USDT,7,🚀 Pump,56,15m,0,7,RSI_5m=80.4 CCI_5m=192.7 RSI_15m=71.1 CCI_15m=276.3 ROC_15m=5.5 ADX_1h=31.8 CCI_4h=-121.7
19,UNI/USDT,7,🚀 Pump,56,15m,6,7,ADX_5m=25.2 WilliamsR_15m=-82.6 ADX_1h=68.2 RSI_4h=77.6 ADX_4h=40.3 CCI_4h=146.1 ROC_4h=32.1
20,ENA/USDT,7,🚀 Pump,56,15m,2,7,ADX_5m=25.7 CCI_15m=-103.4 WilliamsR_15m=-90.2 ADX_1h=36.3 ADX_4h=37.6 CCI_4h=123.9 ROC_4h=11.7
21,TRX/USDT,7,🚀 Pump,56,15m,0,7,ADX_5m=26.8 CCI_15m=-107.7 WilliamsR_15m=-83.8 ADX_1h=28.7 WilliamsR_1h=-87.5 ADX_4h=44.9 CCI_4h=106.8
22,ZBCN/USDT,7,🚀 Pump,56,15m,1,7,CCI_5m=-168.6 WilliamsR_5m=-82.0 CCI_15m=-153.7 WilliamsR_15m=-89.4 CCI_4h=-129.2 WilliamsR_4h=-87.8 ROC_4h=-11.8
23,ARB/USDT,7,🚀 Pump,56,15m,1,7,ADX_15m=25.6 WilliamsR_15m=-91.0 ADX_1h=58.8 RSI_4h=72.4 ADX_4h=29.5 CCI_4h=151.8 ROC_4h=18.4
24,WAXL/USDT,7,🚀 Pump,56,15m,3,7,CCI_15m=-148.9 ADX_1h=33.5 CCI_1h=-136.3 WilliamsR_1h=-89.7 ROC_1h=-12.2 ADX_4h=42.8 ROC_4h=51.6
25,BCH/USDT,7,🚀 Pump,56,15m,1,7,CCI_5m=-109.0 WilliamsR_5m=-92.0 ADX_1h=44.5 RSI_4h=73.3 ADX_4h=36.1 CCI_4h=174.7 ROC_4h=6.0
26,KCS/USDT,7,🚀 Pump,56,15m,1,7,ADX_15m=26.6 RSI_1h=72.1 ADX_1h=26.8 CCI_1h=161.4 RSI_4h=72.6 ADX_4h=31.5 CCI_4h=125.2
